Timestamp,Operator Name,Action
2026-07-22 21:43:48,3,เข้าสู่ระบบ (Login)
2026-07-22 21:44:43,3,ดึงจดหมาย (ช่วงเวลา: 7 วันย้อนหลัง) พบอีเมล 4 ฉบับ
2026-07-22 21:44:55,3,เริ่มต้นตรวจสอบแบบทีละแห่ง (Wizard) จำนวน 1 รายการ
2026-07-22 21:45:32,3,ย้ายไฟล์แนบโรงพยาบาล เมดไลฟ์ พระรามสาม สหคลินิก ลงโฟลเดอร์สำเร็จ
2026-07-23 22:16:14,ผู้ใช้งานทั่วไป,ค้นหาอีเมล (1 วันย้อนหลัง) พบ 0 ฉบับ
2026-07-23 22:16:24,ผู้ใช้งานทั่วไป,ค้นหาอีเมล (3 วันย้อนหลัง) พบ 6 ฉบับ
2026-07-23 22:16:48,ผู้ใช้งานทั่วไป,ค้นหาอีเมล (1 สัปดาห์ย้อนหลัง) พบ 13 ฉบับ
2026-07-23 22:21:54,ผู้ใช้งานทั่วไป,ค้นหาอีเมล (1 สัปดาห์ย้อนหลัง) พบ 13 ฉบับ
2026-07-23 22:27:03,ผู้ใช้งานทั่วไป,บันทึกการตั้งค่า config.json ใหม่
2026-07-23 22:52:45,ผู้ใช้งานทั่วไป,ค้นหาอีเมล (1 วันย้อนหลัง) พบ 28 ฉบับ
2026-07-23 22:59:05,ผู้ใช้งานทั่วไป,ค้นหาอีเมล (5 อีเมลล่าสุด) พบ 5 ฉบับ
2026-07-23 23:05:05,ผู้ใช้งานทั่วไป,บันทึกความคืบหน้าตรวจสอบเอกสาร: เมดไลฟ์ พระรามสาม สหคลินิก
2026-07-23 23:11:14,ผู้ใช้งานทั่วไป,ค้นหาอีเมล (5 อีเมลล่าสุด) พบ 5 ฉบับ
2026-07-23 23:27:28,ผู้ใช้งานทั่วไป,นำเข้าข้อมูลด่วนสำเร็จ: โรงพยาบาลมะเร็งสุราษฎร์ธานี
2026-08-08 12:01:11,ผู้ใช้งานทั่วไป,ค้นหาอีเมล (5 อีเมลล่าสุด) พบ 5 ฉบับ
2026-08-08 12:11:48,ผู้ใช้งานทั่วไป,ค้นหาอีเมล (5 อีเมลล่าสุด) พบ 5 ฉบับ
2026-08-08 12:27:33,ผู้ใช้งานทั่วไป,ค้นหาอีเมล (5 อีเมลล่าสุด) พบ 5 ฉบับ
2026-08-08 12:27:52,ผู้ใช้งานทั่วไป,นำเข้าข้อมูลด่วนสำเร็จ: โรงพยาบาลโนนนารายณ์
2026-08-08 12:29:07,ผู้ใช้งานทั่วไป,ค้นหาอีเมล (5 อีเมลล่าสุด) พบ 5 ฉบับ
2026-08-08 12:32:36,ผู้ใช้งานทั่วไป,ค้นหาอีเมล (5 อีเมลล่าสุด) พบ 5 ฉบับ
2026-08-08 12:32:58,ผู้ใช้งานทั่วไป,นำเข้าข้อมูลด่วนสำเร็จ: โรงพยาบาลโนนนารายณ์
2026-08-08 12:33:10,ผู้ใช้งานทั่วไป,นำเข้าข้อมูลด่วนสำเร็จ: โรงพยาบาลนาแก
2026-08-08 12:33:36,ผู้ใช้งานทั่วไป,นำเข้าข้อมูลด่วนสำเร็จ: โรงพยาบาลนอร์ทอีสเทอร์น-วัฒนา อุดรธานี
2026-08-08 12:40:06,ผู้ใช้งานทั่วไป,ค้นหาอีเมล (5 อีเมลล่าสุด) พบ 5 ฉบับ
2026-08-08 12:40:50,ผู้ใช้งานทั่วไป,ค้นหาอีเมล (10 อีเมลล่าสุด) พบ 10 ฉบับ
2026-08-08 12:58:47,ผู้ใช้งานทั่วไป,บันทึกการตั้งค่า config.json ใหม่
2026-08-08 13:59:56,ผู้ใช้งานทั่วไป,ค้นหาอีเมล (10 อีเมลล่าสุด) พบ 10 ฉบับ
2026-08-08 14:00:19,ผู้ใช้งานทั่วไป,นำเข้าข้อมูลด่วนสำเร็จ: โรงพยาบาลโนนนารายณ์
2026-08-08 14:00:33,ผู้ใช้งานทั่วไป,นำเข้าข้อมูลด่วนสำเร็จ: โรงพยาบาลนาแก
2026-08-08 14:01:20,ผู้ใช้งานทั่วไป,นำเข้าข้อมูลด่วนสำเร็จ: โรงพยาบาลนอร์ทอีสเทอร์น-วัฒนา
2026-08-08 14:02:01,ผู้ใช้งานทั่วไป,นำเข้าข้อมูลด่วนสำเร็จ: โรงพยาบาลน้ำขุ่น
2026-08-08 14:02:07,ผู้ใช้งานทั่วไป,นำเข้าข้อมูลด่วนสำเร็จ: เมดไลฟ์ พระรามสาม สหคลินิก
2026-08-08 14:02:14,ผู้ใช้งานทั่วไป,นำเข้าข้อมูลด่วนสำเร็จ: เมดไลฟ์ พระรามสาม สหคลินิก
2026-08-08 14:02:22,ผู้ใช้งานทั่วไป,นำเข้าข้อมูลด่วนสำเร็จ: โรงพยาบาลเขาชะเมาเฉลิมพระเกียรติ ๘๐ พรรษา
2026-08-08 14:02:36,ผู้ใช้งานทั่วไป,นำเข้าข้อมูลด่วนสำเร็จ: โรงพยาบาลเซนต์หลุยส์
2026-08-08 14:26:26,ทนพ.สุทัศน์ บุญยงค์,ค้นหาอีเมล (5 อีเมลล่าสุด) พบ 5 ฉบับ
2026-08-08 14:28:48,ทนพ.สุทัศน์ บุญยงค์,ค้นหาอีเมล (5 อีเมลล่าสุด) พบ 5 ฉบับ
2026-08-08 14:30:42,ทนพ.สุทัศน์ บุญยงค์,ค้นหาอีเมล (5 อีเมลล่าสุด) พบ 5 ฉบับ
2026-08-08 14:38:06,ทนพ.สุทัศน์ บุญยงค์,ค้นหาอีเมล (10 อีเมลล่าสุด) พบ 10 ฉบับ
2026-08-08 14:43:44,ทนพ.สุทัศน์ บุญยงค์,ค้นหาอีเมล (5 อีเมลล่าสุด) พบ 5 ฉบับ
2026-08-08 14:46:00,ทนพ.สุทัศน์ บุญยงค์,ค้นหาอีเมล (5 อีเมลล่าสุด) พบ 5 ฉบับ
2026-08-08 14:49:03,ทนพ.สุทัศน์ บุญยงค์,ค้นหาอีเมล (5 อีเมลล่าสุด) พบ 5 ฉบับ
2026-08-08 14:55:26,ทนพ.สุทัศน์ บุญยงค์,นำเข้าข้อมูลด่วนสำเร็จ: โรงพยาบาลโนนนารายณ์
2026-08-08 14:55:39,ทนพ.สุทัศน์ บุญยงค์,นำเข้าข้อมูลด่วนสำเร็จ: โรงพยาบาลนาแก
2026-08-08 14:56:05,ทนพ.สุทัศน์ บุญยงค์,นำเข้าข้อมูลด่วนสำเร็จ: โรงพยาบาลนอร์ทอีสเทอร์น-วัฒนา
2026-08-08 15:14:38,ทนพ.สุทัศน์ บุญยงค์,ค้นหาอีเมล (5 อีเมลล่าสุด) พบ 5 ฉบับ
2026-08-08 15:15:04,ทนพ.สุทัศน์ บุญยงค์,นำเข้าข้อมูลด่วนสำเร็จ: โรงพยาบาลโนนนารายณ์
2026-08-08 15:46:02,ทนพ.สุทัศน์ บุญยงค์,ค้นหาอีเมล (5 อีเมลล่าสุด) พบ 5 ฉบับ
2026-08-08 15:50:14,ทนพ.สุทัศน์ บุญยงค์,ค้นหาอีเมล (5 อีเมลล่าสุด) พบ 5 ฉบับ
2026-08-08 16:01:32,ทนพ.สุทัศน์ บุญยงค์,ค้นหาอีเมล (5 อีเมลล่าสุด) พบ 5 ฉบับ
2026-08-08 16:10:10,ทนพ.สุทัศน์ บุญยงค์,ค้นหาอีเมล (5 อีเมลล่าสุด) พบ 5 ฉบับ
2026-08-08 16:11:41,ทนพ.สุทัศน์ บุญยงค์,นำเข้าข้อมูลด่วนสำเร็จ: หน่วยงาน_Mail_131
2026-08-08 16:11:41,ทนพ.สุทัศน์ บุญยงค์,นำเข้าข้อมูลด่วนสำเร็จ: โรงพยาบาลโนนนารายณ์
2026-08-08 16:11:41,ทนพ.สุทัศน์ บุญยงค์,นำเข้าข้อมูลด่วนสำเร็จ: หน่วยงาน_Mail_129
2026-08-08 16:11:41,ทนพ.สุทัศน์ บุญยงค์,นำเข้าข้อมูลด่วนสำเร็จ: โรงพยาบาลนาแก
2026-08-08 16:11:43,ทนพ.สุทัศน์ บุญยงค์,นำเข้าข้อมูลด่วนสำเร็จ: หน่วยงาน_Mail_127
2026-08-08 16:37:27,ทนพ.สุทัศน์ บุญยงค์,ค้นหาอีเมล (5 อีเมลล่าสุด) พบ 5 ฉบับ
